At Rest Pulse Time (Seconds),At Rest Pulse Amplitude (amps),Propofol Sedation Pulse Time (Seconds),Propofol Sedation Pulse Amplitude
2244.808594,0.004481514,621.37,0.305909485
2255.617188,0.008030264,639.19,0.064524004
2266.292969,0.004642675,654.926,0.500746721
2286.8125,0.004630836,660.092,0.854685403
2306.949219,0.00567145,670.628,1.088140839
2316.386719,0.012748949,691.774,0.253524799
2394.632813,0.008556533,703.034,0.440918346
2475.582031,0.013018258,712.232,0.074988732
2497.234375,0.00672316,714.83,1.899517528
2510.320313,0.005152372,726.14,0.059238999
2529.34375,0.004944323,738.712,0.266390001
2535.148438,0.007168822,750.104,1.022332644
2540.972656,0.025499301,759.39,0.387893579
2546.585938,0.005776335,773.372,0.258313124
2558.757813,0.017602525,786.256,0.146191828
2568.027344,0.007823843,798.202,0.794011616
2582.03125,0.004440699,811.318,0.17605367
2585.390625,0.006877893,838.282,0.044904582
2599.015625,0.008301082,844.662,0.076490869
2604.304688,0.00496544,880.272,0.124595313
2614.335938,0.00496336,898.806,0.098069406
2637.210938,0.005695141,941.248,0.064432188
2652.792969,0.006546786,1042.83,0.080601079
2658.242188,0.009722306,1075.59,0.04737984
2663.703125,0.032921492,1084.38,0.119666115
2673.625,0.005436773,1132.032,0.083458134
2688.71875,0.018244357,1142.622,0.107413895
2699.179688,0.005382957,1161.422,0.051297978
2707.757813,0.007285699,1177.194,0.046271974
2716.824219,0.00683101,1192.226,0.085548109
2725.699219,0.035828537,1218.552,0.066285164
2741.054688,0.012218191,1238.542,0.196934813
2746.894531,0.006463375,1275.26,0.080800208
2751.289063,0.00409348,1349.454,0.043067334
2766.808594,0.012015675,1361.462,0.115812818
2778.875,0.049466482,1381.276,0.049856308
2787.179688,0.011896931,1395.26,0.039147177
2795.042969,0.005847716,1398.554,0.139932516
2814.941406,0.013345394,1404.656,0.041694309
2835.351563,0.037740367,1414.074,0.043302846
2873.121094,0.009907523,1424.876,0.238175111
2903.605469,0.004173273,1433.846,0.052214935
2941.574219,0.016643736,1442.844,0.072365955
2961.613281,0.026061175,1458.744,0.107756594
2970.449219,0.005476347,1469.83,0.07318931
2977.894531,0.008657164,1477.624,0.216665322
2997.308594,0.004771622,1498.424,0.465067096
3001.273438,0.007658203,1509.346,0.120610391
3011.691406,0.016386378,1517.904,0.225014186
3020.242188,0.005083709,1532.764,0.168799766
3027.566406,0.004595562,1535.82,2.301220895
3063.378906,0.0476568,1546.084,1.877068847
3075.863281,0.005735155,1557.376,0.321079989
3096.789063,0.033957213,1571.698,0.042519819
3136.296875,0.005419306,1594.62,3.824695692
3157.878906,0.006981171,1609.672,0.195898497
3174.164063,0.004781244,1616.582,0.049031554
3183.597656,0.011414602,1622.196,0.611437773
3199.523438,0.018467062,1630.622,2.202245143
3215.558594,0.005961465,1635.322,2.052864755
3223.535156,0.036977743,1644.798,0.197051447
3240.039063,0.027506825,1651.176,0.304484892
3254.390625,0.004319712,1659.818,0.521755583
3260.320313,0.004181568,1673.098,1.484376537
3264.871094,0.041094331,1679.466,0.235378617
3281.691406,0.006398827,1689.374,4.308944803
3293.707031,0.017931848,1704.034,0.10335952
3300.164063,0.048669046,1720.648,0.336424077
3311.78125,0.01230693,1733.892,1.665727914
3322.992188,0.027384601,1747.47,0.248157145
3333,0.027067371,1765.93,3.921274922
3338.246094,0.013481627,1770.8,0.468549773
3345.101563,0.00553156,1779.292,1.394343994
3347.921875,0.04811953,1783.138,0.044729214
3354.5,0.011031902,1788.146,1.57726523
3358.863281,0.009943689,1793.878,0.566628491
3361.601563,0.041313585,1799.106,2.1206092
3363.8125,0.005178198,1807.094,1.188094077
3366.773438,0.009465295,1810.416,0.279882813
,,1819.346,0.745251842
,,1830.944,0.542406452
,,1843.93,0.186819223
,,1849.262,0.064972587
,,1857.974,0.648645464
,,1864.872,0.238346098
,,1880.304,1.28110826
,,1886.202,0.055961669
,,1887.638,0.040044045
,,1891.158,1.679843642
,,1895.112,0.269711286
,,1910.096,0.639138407
,,1913.718,0.207070113
,,1919.58,0.121049779
,,1922.394,1.652506931
,,1927.51,0.727397693
,,1933.522,0.192209247
,,1939.484,1.170050617
,,1949.08,0.268337014
,,1953.354,1.918754369
,,1959.342,1.441987482
,,1969.304,1.845257494
,,1978.558,0.792826309
,,1983.202,1.479813614
,,1991.424,1.839403779
,,1999.374,0.148979459
,,2004.168,0.41304715
,,2013.17,0.996301216
,,2020.618,1.123324804
,,2032.824,0.223547649
,,2040.144,0.090451754
,,2046.668,3.155858134
,,2055.454,0.582438683
,,2062.42,0.046388287
,,2066.638,0.157610703
,,2071.39,1.28777854
,,2081.078,0.59894867
,,2092.144,0.062868807
,,2096.418,0.338319268
,,2104.526,0.187194282
,,2123.696,0.95211555
,,2137.884,0.046068965
,,2150.126,0.170802281
,,2162.15,1.424265578
,,2173.28,0.145406764
,,2186.216,1.020036543
,,2191.314,0.047152311
,,2204.042,0.086100737
,,2219.596,0.177545771
,,2225.926,0.039049941
,,2255.236,0.353267951
,,2258.084,3.777235192
,,2267.954,0.053856058
,,2277.112,0.610767807
,,2286.676,0.966608302
,,2296.9,0.255546809
,,2320.09,0.649498558
,,2333.902,1.77515661
,,2345.244,0.204419434
,,2359.29,0.963320486
,,2379.13,0.163902343
,,2395.98,0.358547156
,,2401.508,0.041879461
,,2421.496,0.858220496
,,2440.346,0.134589065
,,2460.044,0.282835944
,,2498.384,1.575065646
,,2503.358,0.320351886
,,2507.458,0.147657378
,,2517.662,0.036553689
,,2524.32,0.047232868
,,2532.532,0.174870914
,,2556.58,0.581021421
